"idhod","hodnota","vuk","vuk_text","stapro_kod","vuzemi_cis","vuzemi_kod","rok","casref_od","casref_do","vuzemi_txt"
"967502465","116930","DEM0004","Střední stav obyvatel","9379","101","40517","2021","2021-01-01","2021-12-31","Ústí nad Labem"
"967523988","78479","DEM0004","Střední stav obyvatel","9379","101","40592","2021","2021-01-01","2021-12-31","Rychnov nad Kněžnou"
"967502487","71593","DEM0004","Střední stav obyvatel","9379","101","40550","2021","2021-01-01","2021-12-31","Semily"
"967502497","78763","DEM0004","Střední stav obyvatel","9379","101","40576","2021","2021-01-01","2021-12-31","Jičín"
"967517615","101","DEM0004","Střední stav obyvatel","9379","43","577448","2021","2021-01-01","2021-12-31","Rakousy"
"967524002","103657","DEM0004","Střední stav obyvatel","9379","101","40614","2021","2021-01-01","2021-12-31","Chrudim"
"967502559","378424","DEM0004","Střední stav obyvatel","9379","101","40711","2021","2021-01-01","2021-12-31","Brno-město"
"967524049","114758","DEM0004","Střední stav obyvatel","9379","101","40738","2021","2021-01-01","2021-12-31","Břeclav"
"967529197","101","DEM0004","Střední stav obyvatel","9379","43","540421","2021","2021-01-01","2021-12-31","Radkovice"
"967523811","100584","DEM0004","Střední stav obyvatel","9379","101","40231","2021","2021-01-01","2021-12-31","Nymburk"
"967499638","101","DEM0004","Střední stav obyvatel","9379","43","589969","2021","2021-01-01","2021-12-31","Rakůvka"
"967502571","91984","DEM0004","Střední stav obyvatel","9379","101","40754","2021","2021-01-01","2021-12-31","Vyškov"
"967524088","107697","DEM0004","Střední stav obyvatel","9379","101","40797","2021","2021-01-01","2021-12-31","Prostějov"
"967524091","126826","DEM0004","Střední stav obyvatel","9379","101","40801","2021","2021-01-01","2021-12-31","Přerov"
"967545209","84661","DEM0004","Střední stav obyvatel","9379","101","40363","2021","2021-01-01","2021-12-31","Klatovy"
"967545219","48587","DEM0004","Střední stav obyvatel","9379","101","40401","2021","2021-01-01","2021-12-31","Rokycany"
"967545235","88030","DEM0004","Střední stav obyvatel","9379","101","40428","2021","2021-01-01","2021-12-31","Cheb"
"967497136","101","DEM0004","Střední stav obyvatel","9379","43","581127","2021","2021-01-01","2021-12-31","Vlčkov"
"967502620","140392","DEM0004","Střední stav obyvatel","9379","101","40843","2021","2021-01-01","2021-12-31","Vsetín"
"967502623","188947","DEM0004","Střední stav obyvatel","9379","101","40851","2021","2021-01-01","2021-12-31","Zlín"
"967502347","108889","DEM0004","Střední stav obyvatel","9379","101","40215","2021","2021-01-01","2021-12-31","Mělník"
"967502357","186558","DEM0004","Střední stav obyvatel","9379","101","40240","2021","2021-01-01","2021-12-31","Praha-východ"
"967523825","54767","DEM0004","Střední stav obyvatel","9379","101","40274","2021","2021-01-01","2021-12-31","Rakovník"
"967523852","70582","DEM0004","Střední stav obyvatel","9379","101","40312","2021","2021-01-01","2021-12-31","Písek"
"967523872","187985","DEM0004","Střední stav obyvatel","9379","101","40371","2021","2021-01-01","2021-12-31","Plzeň-město"
"967545251","126492","DEM0004","Střední stav obyvatel","9379","101","40452","2021","2021-01-01","2021-12-31","Děčín"
"967565185","101","DEM0004","Střední stav obyvatel","9379","43","594741","2021","2021-01-01","2021-12-31","Rudlice"
"967521371","101","DEM0004","Střední stav obyvatel","9379","43","591262","2021","2021-01-01","2021-12-31","Nový Telečkov"
"967523568","101","DEM0004","Střední stav obyvatel","9379","43","599255","2021","2021-01-01","2021-12-31","Mezná"
"967545305","162193","DEM0004","Střední stav obyvatel","9379","101","40568","2021","2021-01-01","2021-12-31","Hradec Králové"
"967502635","212422","DEM0004","Střední stav obyvatel","9379","101","40878","2021","2021-01-01","2021-12-31","Frýdek-Místek"
"967550612","101","DEM0004","Střední stav obyvatel","9379","43","540102","2021","2021-01-01","2021-12-31","Nezdřev"
"967502376","60033","DEM0004","Střední stav obyvatel","9379","101","40291","2021","2021-01-01","2021-12-31","Český Krumlov"
"967523880","80228","DEM0004","Střední stav obyvatel","9379","101","40398","2021","2021-01-01","2021-12-31","Plzeň-sever"
"967545121","95823","DEM0004","Střední stav obyvatel","9379","101","40177","2021","2021-01-01","2021-12-31","Beroun"
"967545140","127221","DEM0004","Střední stav obyvatel","9379","101","40223","2021","2021-01-01","2021-12-31","Mladá Boleslav"
"967438414","36884","DEM0004","Střední stav obyvatel","9379","101","40771","2021","2021-01-01","2021-12-31","Jeseník"
"967480878","75402","DEM0004","Střední stav obyvatel","9379","101","40207","2021","2021-01-01","2021-12-31","Kutná Hora"
"967438182","99008","DEM0004","Střední stav obyvatel","9379","101","40169","2021","2021-01-01","2021-12-31","Benešov"
"967438203","149990","DEM0004","Střední stav obyvatel","9379","101","40258","2021","2021-01-01","2021-12-31","Praha-západ"
"967438207","114060","DEM0004","Střední stav obyvatel","9379","101","40266","2021","2021-01-01","2021-12-31","Příbram"
"967438220","194994","DEM0004","Střední stav obyvatel","9379","101","40282","2021","2021-01-01","2021-12-31","České Budějovice"
"967459680","50225","DEM0004","Střední stav obyvatel","9379","101","40321","2021","2021-01-01","2021-12-31","Prachatice"
"967471326","101","DEM0004","Střední stav obyvatel","9379","43","565440","2021","2021-01-01","2021-12-31","Kalivody"
"967481192","89906","DEM0004","Střední stav obyvatel","9379","101","40860","2021","2021-01-01","2021-12-31","Bruntál"
"967481201","149907","DEM0004","Střední stav obyvatel","9379","101","40894","2021","2021-01-01","2021-12-31","Nový Jičín"
"967438483","312908","DEM0004","Střední stav obyvatel","9379","101","40916","2021","2021-01-01","2021-12-31","Ostrava-město"
"967480925","89325","DEM0004","Střední stav obyvatel","9379","101","40304","2021","2021-01-01","2021-12-31","Jindřichův Hradec"
"967455996","101","DEM0004","Střední stav obyvatel","9379","43","587079","2021","2021-01-01","2021-12-31","Doupě"
"967480950","54313","DEM0004","Střední stav obyvatel","9379","101","40355","2021","2021-01-01","2021-12-31","Domažlice"
"967480984","110195","DEM0004","Střední stav obyvatel","9379","101","40436","2021","2021-01-01","2021-12-31","Karlovy Vary"
"967432349","101","DEM0004","Střední stav obyvatel","9379","43","578436","2021","2021-01-01","2021-12-31","Slatina"
"967438262","68623","DEM0004","Střední stav obyvatel","9379","101","40380","2021","2021-01-01","2021-12-31","Plzeň-jih"
"967438291","117473","DEM0004","Střední stav obyvatel","9379","101","40479","2021","2021-01-01","2021-12-31","Litoměřice"
"967438303","124401","DEM0004","Střední stav obyvatel","9379","101","40509","2021","2021-01-01","2021-12-31","Teplice"
"967459812","135977","DEM0004","Střední stav obyvatel","9379","101","40649","2021","2021-01-01","2021-12-31","Ústí nad Orlicí"
"967481028","101997","DEM0004","Střední stav obyvatel","9379","101","40525","2021","2021-01-01","2021-12-31","Česká Lípa"
"967481031","173337","DEM0004","Střední stav obyvatel","9379","101","40541","2021","2021-01-01","2021-12-31","Liberec"
"967438337","108092","DEM0004","Střední stav obyvatel","9379","101","40584","2021","2021-01-01","2021-12-31","Náchod"
"967438345","115365","DEM0004","Střední stav obyvatel","9379","101","40606","2021","2021-01-01","2021-12-31","Trutnov"
"967459861","113389","DEM0004","Střední stav obyvatel","9379","101","40762","2021","2021-01-01","2021-12-31","Znojmo"
"967424111","101","DEM0004","Střední stav obyvatel","9379","43","548006","2021","2021-01-01","2021-12-31","Bošín"
"967481087","93521","DEM0004","Střední stav obyvatel","9379","101","40657","2021","2021-01-01","2021-12-31","Havlíčkův Brod"
"967438357","171461","DEM0004","Střední stav obyvatel","9379","101","40622","2021","2021-01-01","2021-12-31","Pardubice"
"967438382","109373","DEM0004","Střední stav obyvatel","9379","101","40681","2021","2021-01-01","2021-12-31","Třebíč"
"967459876","118618","DEM0004","Střední stav obyvatel","9379","101","40819","2021","2021-01-01","2021-12-31","Šumperk"
"967459633","103345","DEM0004","Střední stav obyvatel","9379","101","40193","2021","2021-01-01","2021-12-31","Kolín"
"967566764","71457","DEM0004","Střední stav obyvatel","9379","101","40673","2021","2021-01-01","2021-12-31","Pelhřimov"
"967566770","117181","DEM0004","Střední stav obyvatel","9379","101","40690","2021","2021-01-01","2021-12-31","Žďár nad Sázavou"
"967566780","107795","DEM0004","Střední stav obyvatel","9379","101","40703","2021","2021-01-01","2021-12-31","Blansko"
"967566798","151344","DEM0004","Střední stav obyvatel","9379","101","40746","2021","2021-01-01","2021-12-31","Hodonín"
"967574069","101","DEM0004","Střední stav obyvatel","9379","43","548782","2021","2021-01-01","2021-12-31","Jahodov"
"967588249","102799","DEM0004","Střední stav obyvatel","9379","101","40631","2021","2021-01-01","2021-12-31","Svitavy"
"967588270","112206","DEM0004","Střední stav obyvatel","9379","101","40665","2021","2021-01-01","2021-12-31","Jihlava"
"967588299","224794","DEM0004","Střední stav obyvatel","9379","101","40720","2021","2021-01-01","2021-12-31","Brno-venkov"
"967566833","139922","DEM0004","Střední stav obyvatel","9379","101","40835","2021","2021-01-01","2021-12-31","Uherské Hradiště"
"967566863","241184","DEM0004","Střední stav obyvatel","9379","101","40886","2021","2021-01-01","2021-12-31","Karviná"
"967566600","69794","DEM0004","Střední stav obyvatel","9379","101","40339","2021","2021-01-01","2021-12-31","Strakonice"
"967588332","233661","DEM0004","Střední stav obyvatel","9379","101","40789","2021","2021-01-01","2021-12-31","Olomouc"
"967588346","103753","DEM0004","Střední stav obyvatel","9379","101","40827","2021","2021-01-01","2021-12-31","Kroměříž"
"967588373","173853","DEM0004","Střední stav obyvatel","9379","101","40908","2021","2021-01-01","2021-12-31","Opava"
"967588061","164359","DEM0004","Střední stav obyvatel","9379","101","40185","2021","2021-01-01","2021-12-31","Kladno"
"967566657","85452","DEM0004","Střední stav obyvatel","9379","101","40444","2021","2021-01-01","2021-12-31","Sokolov"
"967566668","121643","DEM0004","Střední stav obyvatel","9379","101","40461","2021","2021-01-01","2021-12-31","Chomutov"
"967566679","107090","DEM0004","Střední stav obyvatel","9379","101","40495","2021","2021-01-01","2021-12-31","Most"
"967588124","101333","DEM0004","Střední stav obyvatel","9379","101","40347","2021","2021-01-01","2021-12-31","Tábor"
"967566696","90204","DEM0004","Střední stav obyvatel","9379","101","40533","2021","2021-01-01","2021-12-31","Jablonec nad Nisou"
"967588153","52793","DEM0004","Střední stav obyvatel","9379","101","40410","2021","2021-01-01","2021-12-31","Tachov"
"967588190","85466","DEM0004","Střední stav obyvatel","9379","101","40487","2021","2021-01-01","2021-12-31","Louny"
"967502468","437131","DEM0004","Střední stav obyvatel","9379","100","3077","2021","2021-01-01","2021-12-31","Liberecký kraj"
"967522846","100","DEM0004","Střední stav obyvatel","9379","43","596540","2021","2021-01-01","2021-12-31","Radňoves"
"967545341","503738","DEM0004","Střední stav obyvatel","9379","100","3107","2021","2021-01-01","2021-12-31","Kraj Vysočina"
"967502582","623686","DEM0004","Střední stav obyvatel","9379","100","3123","2021","2021-01-01","2021-12-31","Olomoucký kraj"
"967545232","283677","DEM0004","Střední stav obyvatel","9379","100","3051","2021","2021-01-01","2021-12-31","Karlovarský kraj"
"967520571","100","DEM0004","Střední stav obyvatel","9379","43","588229","2021","2021-01-01","2021-12-31","Zbinohy"
"967505254","100","DEM0004","Střední stav obyvatel","9379","43","532614","2021","2021-01-01","2021-12-31","Vodslivy"
"967545166","636286","DEM0004","Střední stav obyvatel","9379","100","3034","2021","2021-01-01","2021-12-31","Jihočeský kraj"
"967534271","100","DEM0004","Střední stav obyvatel","9379","43","561436","2021","2021-01-01","2021-12-31","Polesí"
"967492825","100","DEM0004","Střední stav obyvatel","9379","43","565920","2021","2021-01-01","2021-12-31","Sudoměř"
"967435745","100","DEM0004","Střední stav obyvatel","9379","43","590991","2021","2021-01-01","2021-12-31","Lesní Jakubov"
"967438457","1180180","DEM0004","Střední stav obyvatel","9379","100","3140","2021","2021-01-01","2021-12-31","Moravskoslezský kraj"
"967447904","100","DEM0004","Střední stav obyvatel","9379","43","558010","2021","2021-01-01","2021-12-31","Louňová"
"967459730","799495","DEM0004","Střední stav obyvatel","9379","100","3069","2021","2021-01-01","2021-12-31","Ústecký kraj"
"967491576","100","DEM0004","Střední stav obyvatel","9379","43","562033","2021","2021-01-01","2021-12-31","Útěchovice pod Stražištěm"
"967438251","577190","DEM0004","Střední stav obyvatel","9379","100","3042","2021","2021-01-01","2021-12-31","Plzeňský kraj"
"967481038","542892","DEM0004","Střední stav obyvatel","9379","100","3085","2021","2021-01-01","2021-12-31","Královéhradecký kraj"
"967438351","513894","DEM0004","Střední stav obyvatel","9379","100","3093","2021","2021-01-01","2021-12-31","Pardubický kraj"
"967459613","1267173","DEM0004","Střední stav obyvatel","9379","100","3018","2021","2021-01-01","2021-12-31","Hlavní město Praha"
"967480860","1380006","DEM0004","Střední stav obyvatel","9379","100","3026","2021","2021-01-01","2021-12-31","Středočeský kraj"
"967566772","1182488","DEM0004","Střední stav obyvatel","9379","100","3115","2021","2021-01-01","2021-12-31","Jihomoravský kraj"
"967570763","100","DEM0004","Střední stav obyvatel","9379","43","536342","2021","2021-01-01","2021-12-31","Krajníčko"
"967582149","100","DEM0004","Střední stav obyvatel","9379","43","578371","2021","2021-01-01","2021-12-31","Malíkov"
"967588342","573014","DEM0004","Střední stav obyvatel","9379","100","3131","2021","2021-01-01","2021-12-31","Zlínský kraj"